[12:14:58] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:14:58] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:58] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:58] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:14:58] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:14:58] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:58] [main/INFO]: Reloading ResourceManager: Default
[12:15:01] [Worker-Main-2/INFO]: Loaded 7 recipes
[12:15:02] [Worker-Main-2/INFO]: Loaded 1137 advancements
[12:15:05] [Server thread/INFO]: Starting minecraft server version 1.17.1
[12:15:05] [Server thread/INFO]: Loading properties
[12:15:05] [Server thread/INFO]: Default game type: SURVIVAL
[12:15:05] [Server thread/INFO]: Generating keypair
[12:15:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:15:05] [Server thread/INFO]: Using epoll channel type
[12:15:06] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[12:15:06] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[12:15:06] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[12:15:06] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[12:15:06] [Server thread/INFO]: Preparing level "world"
[12:15:17] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:15:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:15:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
